location_name	top_category	latitude	longitude
First United Methodist Church Oneida	Religious Organizations	43.087666	-75.648097
Rome Auto Electric	Automotive Repair and Maintenance	43.214038	-75.465196
Marcy Highway Department	Department Stores	43.185465	-75.259518
Price Chopper New England	Grocery Stores	43.043567	-74.857684
Papa Rick's Snack Shack	Restaurants and Other Eating Places	43.239905	-75.438083
Monai Interiors	Automotive Repair and Maintenance	43.091621	-75.315673
Kanon Valley Country Club	Other Amusement and Recreation Industries	43.139079	-75.714179
Woody's Ice Cream Place	Restaurants and Other Eating Places	43.023081	-74.988919
Herkimer Bowling Center	Other Amusement and Recreation Industries	43.020208	-74.992498
Indian Castle Travel Plaza	Lessors of Real Estate	43.043478	-74.859466
Planet Fitness	Other Amusement and Recreation Industries	43.085011	-75.321374
Frank's Body Works	Automotive Repair and Maintenance	43.078377	-75.290578
Quality Water Service	Building Material and Supplies Dealers	43.097226	-75.655605
Twizted Ink	Personal Care Services	43.227871	-75.491337
Auto Restoration	Automotive Repair and Maintenance	43.226528	-75.509944
Dunkin'	Restaurants and Other Eating Places	43.138735	-75.276518
Number One Chinese Restaurant	Restaurants and Other Eating Places	43.075927	-75.64215
Chris' Collision	Automotive Repair and Maintenance	43.016487	-74.878684
Accents of Hair & Fashion	Personal Care Services	43.218007	-75.453618
New Wave Hair Systems	Personal Care Services	43.0091	-75.263527
Dunkin'	Restaurants and Other Eating Places	43.080351	-75.3915
CrossFit	Other Amusement and Recreation Industries	43.199049	-75.448671
Nothing Bundt Cakes	Bakeries and Tortilla Manufacturing	43.093823	-75.307566
Main Moon Chinese Kitchen	Restaurants and Other Eating Places	43.015825	-75.03685
Piano Lab	Sporting Goods, Hobby, and Musical Instrument Stores	43.026229	-75.271131
Asian Bistro & Grill	Restaurants and Other Eating Places	43.073487	-75.294994
Dinh Thanh Temple	Religious Organizations	43.085281	-75.17064
Vine and Fig	Beer, Wine, and Liquor Stores	43.257196	-75.461809
First Presbyterian Church	Religious Organizations	43.090772	-75.651936
Friendship Baptist Church	Religious Organizations	43.217584	-75.558983
Holy Trinity Lutheran Church	Religious Organizations	43.046002	-74.860104
Spectrum Paint & Decorating Center	Building Material and Supplies Dealers	43.223209	-75.483869
Donna's Cafe	Restaurants and Other Eating Places	43.229952	-75.495379
Daughter for Hire	Home Health Care Services	43.047887	-75.378914
Liberty St Clippers	Personal Care Services	43.214838	-75.463315
The Gas and Oil Grill	Restaurants and Other Eating Places	43.076056	-75.641876
Hobby Lobby Stores	Sporting Goods, Hobby, and Musical Instrument Stores	43.087264	-75.314979
O'Scugnizzo's Pizzeria	Restaurants and Other Eating Places	43.207523	-75.450298
Swan Pools	Miscellaneous Durable Goods Merchant Wholesalers	43.055508	-75.271649
Empire Gymnastics & Fitness	Other Amusement and Recreation Industries	43.037146	-75.071653
Stewart's Shops	Grocery Stores	43.095328	-75.318128
Words of Life Promotions	Sporting Goods, Hobby, and Musical Instrument Stores	43.208719	-75.474855
Thompson Appliances & Furniture	Furniture Stores	43.235688	-75.50106
New Hope Ministries Church	Religious Organizations	43.024815	-74.980334
Hannaford Plaza	Lessors of Real Estate	43.053674	-75.277639
O'Baby's Gourmet Sandwich Shoppe	Restaurants and Other Eating Places	43.062922	-75.272303
Cafe Canole	Restaurants and Other Eating Places	43.074288	-75.28821
Shear Perfection	Personal Care Services	43.05144	-74.947288
Debbie's Cafe	Restaurants and Other Eating Places	43.054647	-75.271747
Ann Street Liquors	Beer, Wine, and Liquor Stores	43.043903	-74.860446
Save-A-Lot	Grocery Stores	43.076389	-75.644002
Thompson Appliances	Furniture Stores	43.096117	-75.651755
Label Shopper	Clothing Stores	43.231684	-75.437282
Kikko's Koffee House	Bakeries and Tortilla Manufacturing	43.257193	-75.461857
Unique Car &amp Motorcycle Storage	Lessors of Real Estate	43.130378	-75.24693
Stone Presbyterian Church	Religious Organizations	43.047956	-75.378559
Walmart Pharmacy 10 2444	Health and Personal Care Stores	43.078201	-75.691724
Mangia Macrina's Wood Fired Pizza	Restaurants and Other Eating Places	43.077135	-75.309979
Carmella's Cafe	Restaurants and Other Eating Places	43.079302	-75.31798
Church On The Rocks	Religious Organizations	43.097193	-75.651781
Salvatore's	Restaurants and Other Eating Places	43.026482	-74.998289
Myers Park	Museums, Historical Sites, and Similar Institutions	43.024761	-74.990078
La Galerie Rouge	Home Furnishings Stores	43.08378	-75.339507
Victoria's Secret	Clothing Stores	43.073324	-75.288588
Al's Cycle Parts	Other Motor Vehicle Dealers	43.207066	-75.449087
First Assembly Of God	Religious Organizations	43.138022	-75.263903
Clinton Arena	Other Amusement and Recreation Industries	43.053792	-75.376905
Acchino Auto Body	Automotive Repair and Maintenance	43.221874	-75.424267
Spirit & Sanzone Distributors Co	Beer, Wine, and Liquor Stores	43.136104	-75.267141
Tommy Nails	Personal Care Services	43.079258	-75.64455
Metro by T Mobile Authorized Dealer	Electronics and Appliance Stores	43.095592	-75.651871
Kelley's Lip Smackin' Best	Grocery Stores	43.016582	-75.035237
Smooth Transitions Laser Salon	Personal Care Services	43.059204	-75.28687
Fiberdyne Labs	Electronics and Appliance Stores	43.040603	-75.083185
Tallman's Express Lube New Hartford	Automotive Repair and Maintenance	43.083147	-75.326395
Dunkin'	Restaurants and Other Eating Places	43.081906	-75.321971
Runway Hair Salon	Personal Care Services	43.07754	-75.293514
Now Playing Boutique	Other Miscellaneous Store Retailers	43.136067	-75.262675
Stewart's Shops	Grocery Stores	43.068319	-75.347543
The War Club	Other Amusement and Recreation Industries	43.248798	-75.382913
Mohawk Valley Christian Education Foundation Incorporated	Museums, Historical Sites, and Similar Institutions	43.060469	-75.2558
Karaz Shoes	Shoe Stores	43.077161	-75.296034
Christopher & Banks	Clothing Stores	43.0903	-75.315394
McDonald's	Restaurants and Other Eating Places	43.041795	-74.861676
Asteroga Ale House	Restaurants and Other Eating Places	43.025301	-74.987032
Brass Tack Restaurant	Restaurants and Other Eating Places	43.028392	-75.059526
CITGO	Gasoline Stations	43.073479	-75.28681
Cycle Shack Cars	Automobile Dealers	43.225985	-75.488861
Catholic Charities Of Herkimer Coun Ty	Religious Organizations	43.014156	-75.038898
Rite Aid	Health and Personal Care Stores	43.097044	-75.302518
Hannaford Supermarkets	Grocery Stores	43.088202	-75.316425
Hannaford Supermarkets	Grocery Stores	43.041994	-75.387076
Mind Games	Sporting Goods, Hobby, and Musical Instrument Stores	43.095751	-75.651708
FranklynS Field	Other Amusement and Recreation Industries	43.22398	-75.445909
Mount Hope Reservoir Park	Museums, Historical Sites, and Similar Institutions	43.060555	-75.652761
Soul Bowl	Restaurants and Other Eating Places	43.096087	-75.305269
Maple Hill Creamery & Market	Other Ambulatory Health Care Services	43.11253	-74.949553
