key	count	category		
Riverside	135			
Sunny	134			
Atlantic	134			
Medicine	134	J		
Seasons	134			
Now	134			
Boba	134	K		
Mark	134			
Platinum	134			
Lees	133			
Lincoln	133			
Tokyo	133			
US	133			
James	133			
Audio	133			
Brown	133			
Wall	133			
Cakes	132	K		
Professional	132			
Cake	132	K		
Emporium	132			
Prime	131			
Shack	131	K		
Kim	131			
Roberto's	131			
Corp	131			
Robert	131			
Certified	130			
Od	130			
Rosa	130			
Stores	130	ST		
Postal	129	P		
Capital	129			
Asia	129	K		
End	128			
Master	128			
Verizon	128	ST		
TRUE	128			
Sewing	128			
Tri	128			
Bamboo	128			
Price	127			
Farmers	127			
Trattoria	127	SR		
Harbor	126			
Mexico	126	K		
Chic	126			
Eyecare	125	CC		
Toys	125	ST		
Route	125			
Com	125			
Simply	124			
Mercury	124			
Castle	124			
Ridge	124			
Bob	124			
Adventure	124			
Van	124			
Lotus	123			
Irish	123	K		
Boston	123			
Hut	123			
Bazaar	122			
Team	122			
Firm	122			
Tampa	122			
Sams	122			
Hibachi	122	K		
Gym	121	N		
Network	121			
Delicatessen	121	G		
Fun	121			
Carpet	121			
Burrito	121	K		
Mike	121			
Sandwiches	121	K		
Fit	120			
Book	120			
Forest	120			
Organic	120			
Paws	120			
Living	120			
Alpha	120			
Garage	120			
Table	120			
Tennis	119	N		
Diego	119			
2000	119			
Koa	119			
Sol	119			
About	119			
Uniforms	119			
Wax	118			
Brazilian	118			
Universal	118			
Champion	118			
Highland	118			
Al	118			
Suites	118			
Sunrise	117			
Victory	117			
Olive	117			
Trading	117			
Circle	117			
Davis	117			
Joe	116			
Phoenix	116			
Shabu	116			
Mill	115			
Braiding	115			
Paint	115			
Wing	115	K		
Cellular	115			
Pc	115			
Joes	115			
Tasty	115			
II	115			
Thomas	114			
Bird	114			
Leather	114			
Rentals	114	SR		
Cantina	113			
Amazing	113			
Title	113			
Motorcycles	113	SR	ST	
Glamour	112			
Beverly	112			
Baby	112			
Accessories	112			
Bread	112	K	G	
An	112			
Loans	112			
Lux	111			
Seattle	111			
Edge	111			
Door	111			
Used	111			
Belle	111			
Js	111			
Advantage	111			
Guys	111			
Bill	111			
Specialty	110			
Payless	110			
Cherry	110			
Abc	110			
Tap	110			
Produce	110			
Yummy	109	K		
Miller	109			
Fred	109			
Diva	109			
Post	108			
Rite	108			
Styling	108			
Regal	108			
Centre	108			
Pastry	108			
Ink	107			
Jim	107			
Computers	107			
Young	107			
Lab	106			
Med	106			
Check	106			
Goods	106	G		
Serenity	106			
Luggage	105			
Boost	105			
Pretty	105			
Halal	105	K		
Area	104			
Uniform	104			
Sweets	104			
Delight	104			
Ny	104			
Weight	104			
Masters	103			
Second	103			
Roberts	103			
Today	103			
Deluxe	103			
Pan	103			
Pontiac	103			
Shops	102	ST		
Styles	102			
Jack	102			
Caribbean	102			
Recreation	102			
Waxing	102			
Ctr	101			
Chi	101			
Arizona	101			
Healthy	101			
Sub	101			
Fu	101			
Public	101			
Ez	101			
Caffe	101			
Southwest	101			
Dominican	100			
District	100			
Sugar	100			
Xpress	100			
General	100			
Superstore	100			
Cat	100			
