occupation	latitude	longitude	zipcode
DeCicco_and_Sons	B	40.928605	-73.764999
Peony_Nail_&_Day_Spa	B	40.987801	-73.80829
Fratelli_Pizza	B	40.914367	-73.77366
Sandwich_King	B	40.898674	-73.777799
Dentserv_Management_Service	A	40.894492	-73.820851
Pelham_Palace	B	40.906361	-73.811862
Westchester_Child_Therapy	A	40.988306	-73.806684
Dominique's_Daycare	A	40.900525	-73.769825
Greenville_Shopping_Center	C	40.995309	-73.819713
Amore_Pizza	B	40.980757	-73.776529
A_No_1_Pizza	B	40.923144	-73.788002
SiteOne_Landscape_Supply	C	40.932423	-73.764378
V_P_Designs	C	40.904889	-73.786924
Mini's_Latin_Fusion	B	40.914868	-73.772444
Martin_P_Goldman_MD	A	40.925686	-73.804638
Howard_Baskin_DMD	A	40.912777	-73.809152
Your_Wireless	C	40.979593	-73.801576
Drake_Family_Dental_Care	A	40.89946	-73.787032
HomeGoods	C	40.995052	-73.820028
Wells_Fargo	C	40.989188	-73.806472
Galloway's_Bakery	E	40.980089	-73.809854
Anshe_Sholom_Synagogue	A	40.905263	-73.776998
Silkie's_Saloon	B	40.909824	-73.779782
Park_Avenue_Barbers	B	41.028137	-73.791185
Uniquepos	C	40.920158	-73.764728
Montessorischool_Of_New_Rochelle_In_Pelham_Inc	A	40.886952	-73.791788
Scarsdale_Animal_Hospital	A	40.972908	-73.804553
EGA_Medical	B	40.93371	-73.758452
Patio_com	C	41.001622	-73.813912
Ameri_Restoration	D	41.002313	-73.836386
SLICE_of_Scarsdale	B	40.987298	-73.809789
Jefferson_Elementary_School	A	40.897186	-73.790419
CubeSmart	C	40.919114	-73.788573
Tzatziki_Greek_Grill	B	40.914441	-73.773306
Winetasters_of_Larchmont	C	40.932316	-73.758035
Sneaker_Lounge	C	40.979568	-73.801572
Sakura	B	40.912834	-73.808674
Primerica	A	40.908433	-73.783218
The_808_Bistro	B	40.984401	-73.809281
Active_Physical_Therapy	A	40.929067	-73.764614
Empire_Wok	B	40.905251	-73.774751
Smallcakes	E	40.997177	-73.817666
BCBG	C	40.971972	-73.803835
The_Snackery_Bakeshop	E	40.931052	-73.761301
uBreakiFix	C	40.997285	-73.817514
Budget_Rent_A_Car	C	40.986758	-73.808451
Sunoco	C	40.92892	-73.764009
Jane_Goodrich_Photography	A	40.935301	-73.756324
Sound_Shore_Medical_Center_of_Westchester	A	40.912996	-73.787518
Raizes_Gary_S_MD	A	40.986376	-73.775615
Electrolysis_by_Caroline_Del_Juidice	A	41.004324	-73.813209
Carlo's_Restaurant	B	40.915897	-73.770644
Boys_&_Girls_Club_Of_New_Rochelle	A	40.910086	-73.799689
Joserg_Pizza	B	40.907498	-73.784335
Madison_Nail	B	40.974493	-73.803943
Destination_XL	C	40.99448	-73.819041
Befit_Supplements	A	40.910502	-73.781698
Planet_Fitness	B	40.990267	-73.823359
CVS	A	40.900978	-73.79179
Daniel_Webster_Elementary_School	A	40.918429	-73.797805
Gemelos_Renovation_&_Maintenance	D	40.910999	-73.781395
Cooked_&_Co	B	40.98559	-73.81028
Cuatro_Caminos_Deli	B	40.909984	-73.796236
Post_Road_Gallery	C	40.927468	-73.752223
Cold_Stone_Creamery	B	40.990496	-73.823115
St_Catherine_AME_Zion_Church	A	40.917959	-73.787016
Main_Car_Wash	D	40.917874	-73.767844
Dennis_W_Barry_DMD_Barry_Dental	A	40.923595	-73.760762
Sprain_Brook_Manor_Rehab	A	40.986332	-73.837024
New_Roc_Social_Bar_&_Lounge	B	40.908905	-73.782689
Jillian_Cohen_LMT	B	40.932823	-73.761823
Wings_Over_Westchester_Air_Museum	B	40.992052	-73.811135
Wash_Up_Xpress	E	41.007706	-73.809371
Mitul_Patel_DDS	A	40.974339	-73.802966
Language_For_Living	A	40.992983	-73.818536
Metro_Med	A	40.909387	-73.779951
Mark_D_Rosenstein_DDS	A	40.923293	-73.76023
Lemke_Park	B	40.92443	-73.773127
Eddie_Foy_Park	B	40.892858	-73.785743
Pure_Hockey	C	40.912794	-73.774791
CrossFit	B	40.920321	-73.804857
DressTiez	C	40.930417	-73.762093
Juice_Press	B	40.975032	-73.802231
Schwartz_David_DDS	A	40.920899	-73.751431
Diamond_Dental_PC	A	40.995374	-73.818101
Young_Israel_of_Scarsdale	A	40.975171	-73.775549
Skin_Care_by_Krystal	B	40.989042	-73.809144
Xpress_Salon	B	40.988458	-73.809643
Humane_Society_of_Westchester	B	40.927134	-73.770954
Burger_King	B	40.910882	-73.780176
Christopher_J_Digiorgio_OD	A	40.896772	-73.794246
Ben's_of_Scarsdale	B	40.997964	-73.816204
Hair_Factor	B	40.946646	-73.79541
Katelyn_Vargas_RE_MAX	C	40.985756	-73.808847
Blvd	A	40.988939	-73.806553
Boys_&_Girls_Clubs_of_America	B	40.915829	-73.788962
Flowers_Park	B	40.929739	-73.772194
French_American_School_Of_New_York	A	40.927089	-73.750336
Lulu_Cake_Boutique	E	40.987816	-73.809824
Raphael_E_Rosenbaum_MD	A	40.90934	-73.781954
Stock_Cabinet_Express	C	40.915854	-73.807608
New_Rochelle_Fire_Department_Station_4	A	40.89828	-73.786175
Bright_Eyes_Optometry	A	40.916131	-73.77032
Traditional_Bagel_Cafe	B	40.94584	-73.795102
Century_21_Real_Estate	C	40.920593	-73.787344
Be_True_Yoga	B	40.9894	-73.807273
Smokehouse_Tailgate_Grill	B	40.922553	-73.788335
Elder_Care_Homecare	B	40.970762	-73.804458
Alleyway_Boutique	C	40.946789	-73.795194
Hand_Crafted_Services	B	40.907309	-73.78256
Telesco_Exxon_Svce_Sta	D	40.986492	-73.80851
BJ's_Optical	A	40.894099	-73.817796
CITGO	C	40.91061	-73.792225
Goosehead_Insuance_Chris_Burton_Goosehead_Insurance_Agent	C	40.918554	-73.766976
Di_Palate_Restaurant	B	40.907803	-73.779239
Larchmont_Massage_Therapy	B	40.932846	-73.761859
Acura_of_Westchester	C	40.927819	-73.766029
Mattress_Firm	C	40.974831	-73.803863
Equinox_Fitness_Clubs	B	40.975038	-73.802183
Eye_Designs_of_Westchester	A	40.973309	-73.80416
Mobil	C	40.976356	-73.802377
Schweiger_Dermatology_New_Rochelle	A	40.909375	-73.781935
