location_name	top_category	latitude	longitude
Cabana Restaurant & Bar,Restaurants and Other Eating Places,40.939113,-73.88814
SMITH CAIRNS FORD,Automobile Dealers,40.932529,-73.854829
Boston Road Best Motors,Automobile Dealers,40.885139,-73.829074
Burgerim,Restaurants and Other Eating Places,40.939491,-73.743835
Enko's European Barber,Personal Care Services,40.90248,-73.863721
John T White Ecc,Child Day Care Services,40.875927,-73.852057
Sin Dulce,Restaurants and Other Eating Places,41.003313,-73.661462
Raba Construction,Building Material and Supplies Dealers,40.924236,-73.861812
Rye Ridge Barber Shop,Personal Care Services,41.002796,-73.683121
Chopt Creative Salad,Restaurants and Other Eating Places,41.003031,-73.683152
Tri City Auto Parts & Accessories,Automotive Repair and Maintenance,40.954781,-73.73938
Deli King,Restaurants and Other Eating Places,40.91233,-73.844035
Len Captan OD Sarlin Opticians,Health and Personal Care Stores,40.951471,-73.734888
Mount Vernon Auto Clinic,Automotive Repair and Maintenance,40.926049,-73.837947
Co Op City Cdc,Child Day Care Services,40.87059,-73.831772
Felice Landscaping,Building Material and Supplies Dealers,40.953952,-73.733391
Gun Hill Auto Center,Automotive Repair and Maintenance,40.873885,-73.856323
Yonkers Animal Shelter,Other Miscellaneous Store Retailers,40.967658,-73.860332
Zumiez,Sporting Goods, Hobby, and Musical Instrument Stores,40.863684,-73.827686
Monarca Florist,Florists,40.948423,-73.868904
Stew Leonard's,Grocery Stores,40.973957,-73.864411
All Party Tents,Personal Care Services,41.002581,-73.666108
Clarks,Shoe Stores,40.863394,-73.827362
Golden Krust Caribbean Bakery and Grill,Restaurants and Other Eating Places,40.870294,-73.845264
Presbyterian Church of Mt Vernon,Religious Organizations,40.917917,-73.837253
Adee Pharmacy,Health and Personal Care Stores,40.869644,-73.844134
Tommys' Kitchen,Restaurants and Other Eating Places,40.912823,-73.849165
Frank Pepe Pizzeria Napoletana,Restaurants and Other Eating Places,40.965339,-73.838858
Butler Nursery School,Child Day Care Services,40.959088,-73.83704
New Glamour Nail Salon,Personal Care Services,40.934897,-73.895064
Dyre Ave Diner,Restaurants and Other Eating Places,40.888012,-73.831579
City Wireless & Electronics,Electronics and Appliance Stores,40.912969,-73.837554
The Woods Restaurant,Restaurants and Other Eating Places,41.32056,-73.893101
Paul's Caribbean Bakery,Bakeries and Tortilla Manufacturing,40.897617,-73.854678
Imani Cultural Academy Inc,Child Day Care Services,40.903144,-73.838224
East Harbor Kitchen,Restaurants and Other Eating Places,40.952394,-73.843582
Learning Express Toys,Sporting Goods, Hobby, and Musical Instrument Stores,41.002786,-73.684435
Grove Street Playground,Other Amusement and Recreation Industries,40.909723,-73.848628
Lp Beauty Supply,Personal Care Services,40.889952,-73.859753
Picone's Meat Specialties,Grocery Stores,40.956038,-73.737158
Masjid Al Huda,Religious Organizations,40.888067,-73.860646
IHOP,Restaurants and Other Eating Places,40.889891,-73.81942
Palmer Service Station,Gasoline Stations,40.944146,-73.744484
Domino's Pizza,Restaurants and Other Eating Places,40.87658,-73.846781
Belle Cheveux Studios,Personal Care Services,40.864249,-73.822678
Dave's Auto,Automotive Repair and Maintenance,40.92948,-73.902812
T Shirt Works,Office Supplies, Stationery, and Gift Stores,40.895258,-73.823238
Central International Market,Grocery Stores,40.934681,-73.899237
Auto Images,Automobile Dealers,41.291807,-73.853129
Family Wellness Pharmacy,Health and Personal Care Stores,40.972052,-73.882011
Rye Brook Cab,Sporting Goods, Hobby, and Musical Instrument Stores,41.001996,-73.680674
Monteverde at Old Stone,Traveler Accommodation,41.298968,-73.951093
ABC Yonkers Barber Shop,Personal Care Services,40.924322,-73.866703
Klassique Bar and Lounge,Restaurants and Other Eating Places,40.881669,-73.838286
Westriver Pharmacy,Health and Personal Care Stores,40.934298,-73.901481
Yummy Tummy Chinese Restaurant,Restaurants and Other Eating Places,40.948504,-73.896605
Sinclair Oil,Gasoline Stations,41.003605,-73.664065
House of Natural,Personal Care Services,40.887289,-73.854293
Salud Spa & Holistic Medicine Center,Personal Care Services,40.862287,-73.857539
Elite Fitness and Performance,Other Amusement and Recreation Industries,41.011082,-73.655767
Grande Central Showroom,Home Furnishings Stores,40.95459,-73.872272
Bagels On Bartow,Restaurants and Other Eating Places,40.86973,-73.829539
The Fairways At Dunwoodie,Restaurants and Other Eating Places,40.936603,-73.874269
Yonkers Farmers Market,Grocery Stores,40.913826,-73.855369
Tandoori Taste of India,Restaurants and Other Eating Places,41.00361,-73.660577
Hand and Stone,Personal Care Services,40.96399,-73.855463
McLean Auto Service and Repair,Automotive Repair and Maintenance,40.906958,-73.871236
Adriana's Gourmet Pizzeria,Restaurants and Other Eating Places,40.914005,-73.852958
Sansotta Brothers II,Restaurants and Other Eating Places,41.292545,-73.887358
Quick Stop Carwash,Gasoline Stations,41.306754,-73.876146
Peartree Nails,Personal Care Services,40.880874,-73.824803
Five Below,General Merchandise Stores, including Warehouse Clubs and Supercenters,40.985786,-73.824448
Bobos Nails & Spa,Personal Care Services,40.99864,-73.66476
Custom Paint By Vjl,Automotive Repair and Maintenance,40.913856,-73.848379
It's A Dog's World,Other Miscellaneous Store Retailers,40.908223,-73.858498
Adam Y Goldman MD Metropolitan Vein and Aesthetic Centers,Personal Care Services,40.908432,-73.873941
Salon Posh,Personal Care Services,40.945123,-73.737317
Tanglewood Shopping Center,Lessors of Real Estate,40.975238,-73.832326
African Hair Braiding,Personal Care Services,40.893196,-73.855774
JP Beauty Studio,Health and Personal Care Stores,40.875454,-73.828571
Square One Restaurant,Restaurants and Other Eating Places,40.909381,-73.835399
Modern on the Rails,Restaurants and Other Eating Places,40.954115,-73.7367
Glass Doctor of Westchester Rockland & the Bronx Counties,Building Material and Supplies Dealers,40.950204,-73.742082
CosmoS Martial Arts,Other Amusement and Recreation Industries,40.951692,-73.736171
Woodstone Builders,Home Furnishings Stores,40.939095,-73.744918
Jansen Grocery,Grocery Stores,40.927105,-73.899535
Congregation Kneses Tifereth Israel,Religious Organizations,41.018112,-73.668494
Maselli's Delicatessen & Catering,Restaurants and Other Eating Places,40.991807,-73.674592
Laconia Pizza,Restaurants and Other Eating Places,40.88475,-73.849268
8Th Ave Playground,Other Amusement and Recreation Industries,40.896925,-73.83523
Shear Art Studio,Personal Care Services,40.950841,-73.728845
Planet Fitness,Other Amusement and Recreation Industries,40.86315,-73.835638
Msquash Academy,Other Amusement and Recreation Industries,40.999428,-73.663206
Lenoir Preserve,Museums, Historical Sites, and Similar Institutions,40.976753,-73.882537
W Mix Market,Grocery Stores,40.941982,-73.89786
CITGO,Gasoline Stations,40.917154,-73.840863
Popeyes Louisiana Kitchen,Restaurants and Other Eating Places,40.932023,-73.899364
Public Storage,Lessors of Real Estate,40.891564,-73.827766
Twin Donut,Restaurants and Other Eating Places,40.954018,-73.851588
InterCounty Supply,Building Material and Supplies Dealers,40.997979,-73.674915
GameStop,Sporting Goods, Hobby, and Musical Instrument Stores,40.978012,-73.831551
Le Macaron,Bakeries and Tortilla Manufacturing,40.963125,-73.855918
Ehice,Clothing Stores,40.912844,-73.837671
Eastchester Playground,Other Amusement and Recreation Industries,40.869825,-73.852816
Abdelnour Day Spa,Personal Care Services,40.944356,-73.883048
GLOW Hair Care,Personal Care Services,40.916612,-73.813377
Johnny's Pizzeria,Restaurants and Other Eating Places,40.91766,-73.839415
Dresses For Less,Clothing Stores,40.910138,-73.837849
New York Electrolysis Association,Health and Personal Care Stores,40.915495,-73.856979
El Fogon De Bayacane Restaurant,Restaurants and Other Eating Places,40.91366,-73.837634
Pet Valu,Other Miscellaneous Store Retailers,40.976442,-73.831031
Rite Aid,Health and Personal Care Stores,40.881151,-73.823799
La Taza with open kitchen,Restaurants and Other Eating Places,40.88733,-73.860426
A Carril's Auto Body Shop,Automotive Repair and Maintenance,40.928848,-73.895945
Richards Auto Driving School,Used Merchandise Stores,40.93484,-73.894625
Normans Auto Driving School,Used Merchandise Stores,40.865461,-73.837117
Pollo A La Brasa Misti Restaurant,Restaurants and Other Eating Places,41.002066,-73.662491
SoYo Nails,Personal Care Services,40.934234,-73.900685
St Andrew's Marthoma Church,Religious Organizations,40.916897,-73.849985
BP,Gasoline Stations,40.926159,-73.837965
Dunkin',Restaurants and Other Eating Places,40.994892,-73.674044
Piliana's,Restaurants and Other Eating Places,40.913915,-73.854385
GNC (General Nutrition Centers),Health and Personal Care Stores,40.996638,-73.67259
D Block Car Wash & Gas,Gasoline Stations,40.938849,-73.885766
Susan E Wagner Dcc,Child Day Care Services,40.886066,-73.845415
T.J. Maxx,Department Stores,40.966686,-73.857374
Storage Post Yonkers,Lessors of Real Estate,40.942331,-73.882456
Weight Watchers,Personal Care Services,40.876576,-73.828706
Paleteria Fernandez,Restaurants and Other Eating Places,40.95141,-73.735791
War Memorial Park,Museums, Historical Sites, and Similar Institutions,40.937316,-73.891008
Javy's,Restaurants and Other Eating Places,41.004215,-73.660576
Best Chinese Restaurant,Restaurants and Other Eating Places,40.883903,-73.833034
Singas Famous Pizza,Restaurants and Other Eating Places,40.981854,-73.824864
LA Fitness,Other Amusement and Recreation Industries,40.964298,-73.855492
Aqua Wellness World,Other Amusement and Recreation Industries,41.004462,-73.672973
Ripe Kitchen & Bar,Restaurants and Other Eating Places,40.898214,-73.838821
Nelly Beauty Salon,Personal Care Services,40.875334,-73.851246
Artistic Auto Body,Automotive Repair and Maintenance,40.928018,-73.894896
Martial Arts Of Westchester,Other Amusement and Recreation Industries,41.249869,-73.915681
GNC (General Nutrition Centers),Health and Personal Care Stores,40.864335,-73.827414
First Baptist Church,Religious Organizations,40.958296,-73.735455
Music & Arts,Sporting Goods, Hobby, and Musical Instrument Stores,40.953838,-73.739019
C & B Automotive,Automotive Repair and Maintenance,40.936056,-73.888946
Poppys Deli,Restaurants and Other Eating Places,40.901188,-73.820246
Co op City Baptist Church,Religious Organizations,40.864847,-73.822032
Cullen's Tavern,Restaurants and Other Eating Places,40.896638,-73.855248
D and W Sheet Metal,Other Motor Vehicle Dealers,40.885765,-73.830526
H Boo Wilson Park & Playground,Other Amusement and Recreation Industries,40.9564,-73.8684
Rinconcito Ecuatoriano,Restaurants and Other Eating Places,41.003445,-73.661374
BMW of Greenwich Mamaroneck,Automobile Dealers,40.946496,-73.735425
Fenimore Deli,Restaurants and Other Eating Places,40.950642,-73.743057
Dusty Rose,Clothing Stores,41.003104,-73.683136
Hina Eyebrow Threading,Health and Personal Care Stores,40.94975,-73.733585
Taco Bell,Restaurants and Other Eating Places,40.882881,-73.824711
Gun Hill Brewing Co,Beverage Manufacturing,40.872119,-73.855931
Cupcake Me,Bakeries and Tortilla Manufacturing,40.864295,-73.822687
Triple R drain Solution,Building Material and Supplies Dealers,40.888892,-73.847745
Luxe V Events,Museums, Historical Sites, and Similar Institutions,40.913173,-73.837601
Duncan Donuts,Restaurants and Other Eating Places,40.894213,-73.823707
Barnes and Noble,Book Stores and News Dealers,40.984833,-73.824872
La Cabana Restaurant,Restaurants and Other Eating Places,40.93912,-73.888145
Cosmopolitan Nail Ink,Personal Care Services,40.914789,-73.851365
Dunkin',Restaurants and Other Eating Places,41.000134,-73.679769
St Lucy Parish,Religious Organizations,40.861435,-73.862068
Alltek,Automotive Repair and Maintenance,41.301013,-73.88234
JS Spa & Nails,Personal Care Services,40.924715,-73.867063
GARAGE,Clothing Stores,40.927745,-73.853607
Bella Nails & Spa,Personal Care Services,40.961228,-73.842138
Ace Endico,Grocery Stores,40.914445,-73.843977
Hilton International,Traveler Accommodation,41.009792,-73.688187
C&W Transmission,Automotive Repair and Maintenance,40.880694,-73.827236
Dunkin',Restaurants and Other Eating Places,40.974611,-73.83286
Mount Vernon Battery Company,Automotive Repair and Maintenance,40.907606,-73.836193
ShopRite,Grocery Stores,40.933069,-73.900767
Lighthouse Home Improvement,Home Health Care Services,41.000974,-73.663844
Coyne Park And Playground,Other Amusement and Recreation Industries,40.907358,-73.873487
Eastchester Barber Shop,Personal Care Services,40.86253,-73.843206
Foot Locker,Shoe Stores,40.887626,-73.860893
Rite Aid,Health and Personal Care Stores,40.889078,-73.843009
Dynamo Furniture Discounters Inc,Furniture Stores,40.907037,-73.835515
Montrose Improvement District,Grocery Stores,41.299927,-73.884035
Haagen Dazs,Restaurants and Other Eating Places,40.964192,-73.856143
HearUSA,Other Miscellaneous Store Retailers,40.881049,-73.824266
Holy Rosary Church,Religious Organizations,40.86927,-73.841808
CITGO,Gasoline Stations,40.879552,-73.837242
Hampshire Country Club,Other Amusement and Recreation Industries,40.935026,-73.738844
Auntie Anne's,Restaurants and Other Eating Places,40.928279,-73.856552
Living Praise Ministries,Religious Organizations,40.88828,-73.853691
Zovante's Vapes,Building Material and Supplies Dealers,40.889012,-73.859437
Bridge Church,Religious Organizations,40.911757,-73.835283
Extra Space Storage,Lessors of Real Estate,40.914972,-73.847616
