occupation	latitude	longitude	zipcode
United_States_Postal_Service_(USPS)	C	40.862706	-73.857502	10469

St_Mark's_Lutheran_School	A	40.903267	-73.867349	10704

Neung_Lyuk_Church_Of_New_York_Inc	A	40.916237	-73.850455	10704

Rock_Of_Ages_Church_Of_God_In_Christ_International_Inc	A	40.886292	-73.861698	10466

YWCA	B	40.930623	-73.898956	10701

King_Bear_of_Yonkers	C	40.933902	-73.872437	10701

Enko's_European_Barber	B	40.90248	-73.863721	10704

John_T_White_Ecc	A	40.875927	-73.852057	10469

Is_181_Pablo_Casals	A	40.875001	-73.831739	10475

Sin_Dulce	B	41.003313	-73.661462	10573

Hidden_Realms_Wellness	B	40.953612	-73.722682	10543

Kohl's	C	40.992493	-73.672224	10573

Allstate_Insurance	C	40.970565	-73.835439	10710

Precisione_Auto_Body	D	40.892146	-73.827295	10550

Queen_Sheba_Beauty_Salon_&_African_Braiding	B	40.909398	-73.835848	10550

Bruce's_Tire_Shop	C	40.888735	-73.828901	10466

Port_Chester_Middle_School	A	41.005156	-73.684515	10573

Sovereign_Grace_Baptist_Church_Inc	A	40.88081	-73.838847	10469

NISSAN_CITY_OF_PORT_CHESTER	C	40.99624	-73.669579	10573

Village_Insurance	C	41.002379	-73.667479	10573

G_&_L_Auto_Body	D	40.997135	-73.669254	10573

Westchester_Squash	B	40.948275	-73.746899	10543

Gap	C	40.864012	-73.826674	10475

McGuire_David_T_DC	A	41.29189	-73.880612	10567

Faithy's_Kitchen	B	40.889502	-73.831517	10466

United_transmission	D	40.995901	-73.673957	10573

R_G_Minimarket	C	41.000361	-73.670355	10573

Cerbone's_Bakery	B	41.002697	-73.682391	10573

The_Rollins_Agency	C	41.006416	-73.690352	10573

RiteCheck	C	40.861652	-73.857385	10469

The_Securit_Store	C	40.912057	-73.847754	10550

DC_Ranieri_Insurance_Agency	C	40.945102	-73.858805	10701

Enrico_Fermi_School_For_The_Performing_Arts	A	40.931464	-73.892002	10701

Bath_&_Body_Works	A	40.964391	-73.855505	10710

Sportscar_Painting	D	40.935886	-73.886248	10701

Monkey_Pod_Games_Factory_Store	C	40.954716	-73.734336	10543

St_Marks_Episcopal_Church	A	40.931062	-73.898992	10701

Pizol_Brazilian_Jiu_Jitsu_Academy	A	41.001676	-73.662951	10573

Gothic_Cabinet_Craft	C	40.972644	-73.835483	10710

Westchester_Italian_Bakery	E	40.954452	-73.738649	10543

Westcop_Port_Chester_Head_Start_Therapeutic	A	41.00253	-73.669893	10573

Old_7Th_Ave_Playground	B	40.907787	-73.83836	10550

Burger_King	B	40.929376	-73.857699	10704

Smile_Center_Of_Yonkers	A	40.953491	-73.84403	10710

Raceway_Wine_&_Liquor	C	40.923053	-73.864014	10704

ALDO	C	40.863819	-73.82751	10475

America_Signs_&amp_Awnings	E	40.947006	-73.877158	10701

Stephen_Erosa_DO	A	40.96766	-73.884002	10701

