category	latitude	longitude
CC	40.970667	-73.804605
ST	40.990049	-73.806332
R	40.911833	-73.809694
K	40.909667	-73.791213
V	40.898224	-73.813759
K	40.922936	-73.788123
K	40.919713	-73.805179
ST	40.911454	-73.783109
R	40.984582	-73.77435
ST	40.984433	-73.774779
K	40.995309	-73.819719
CC	40.935372	-73.756314
K	40.999852	-73.814643
CC	40.929116	-73.750827
V	40.908684	-73.781339
SR	40.906722	-73.782277
ER	40.946807	-73.787471
ST	40.972589	-73.804634
K	40.909452	-73.794859
CC	40.936518	-73.792196
ST	40.931058	-73.761247
K	40.988582	-73.809524
K	40.911274	-73.779965
X	41.005143	-73.784838
V	40.972707	-73.774965
V	40.924729	-73.749245
CC	40.982812	-73.788786
ER	40.892297	-73.820662
K	40.987077	-73.824075
ST	40.935309	-73.756316
K	40.917046	-73.778871
V	40.908328	-73.789913
K	40.987298	-73.809789
ST	40.906654	-73.785479
MF	40.933659	-73.758477
ST	40.969299	-73.80674
R	40.99425	-73.819343
ST	40.913402	-73.779434
CC	40.995386	-73.818011
ER	40.998424	-73.815227
G	40.916852	-73.778646
K	40.927318	-73.789577
V	40.91015	-73.810576
G	40.914126	-73.794404
K	40.917142	-73.781136
MF	40.906647	-73.811665
ST	40.989253	-73.765879
M	40.908023	-73.78211
AS	40.958436	-73.800539
SR	40.922146	-73.763327
CC	40.99372	-73.8222
K	40.898781	-73.777848
CC	40.910169	-73.810559
CC	40.891073	-73.778485
K	40.914357	-73.773533
ER	40.893041	-73.795667
SR	40.897136	-73.804091
CC	40.988026	-73.82491
ER	41.011642	-73.783128
CC	40.931765	-73.760109
K	40.906503	-73.773893
SR	40.914455	-73.782071
CC	40.933111	-73.74825
ER	40.891346	-73.782186
K	40.914596	-73.78439
K	40.893925	-73.82012
K	40.990142	-73.807323
ER	41.01288	-73.792771
K	40.912851	-73.775707
ST	41.000226	-73.838378
SR	40.905807	-73.785884
ER	40.901044	-73.792031
SR	40.912351	-73.782539
K	40.946718	-73.794503
CC	40.932864	-73.761829
ER	41.00502	-73.807072
ST	40.989088	-73.809288
V	40.895558	-73.805554
SR	40.906356	-73.789451
ER	40.981232	-73.778571
ER	40.974288	-73.803987
K	40.931943	-73.76011
ST	40.913914	-73.777808
CC	40.91332	-73.78944
ST	40.933708	-73.761596
V	40.90951	-73.784561
R	40.91483	-73.784479
CC	40.969877	-73.795199
K	40.90505	-73.787715
G	40.985914	-73.81016
ST	40.976761	-73.80269
K	40.980131	-73.761622
ER	40.910637	-73.783883
SR	40.902401	-73.814269
K	40.908336	-73.783105
K	40.905247	-73.774743
ER	40.914357	-73.784834
K	40.984401	-73.809281
CC	40.929067	-73.764614
U	40.891573	-73.817906
ST	40.996727	-73.817324
K	40.934239	-73.747874
P	40.911129	-73.812509
CC	40.948643	-73.792294
ST	40.891223	-73.816818
K	40.92238	-73.787862
K	40.910882	-73.780176
R	40.914308	-73.784108
HH	40.912244	-73.783965
CC	40.988333	-73.807092
CC	40.902074	-73.81175
